timestamp,game_version,age_group,gender,income,stock_market,financial_knowledge,raw_score,standard_score,risk_group,question_1_answer,question_2_answer,question_3_answer,question_4_answer,question_5_answer,question_6_answer,question_7_answer,question_8_answer,question_9_answer,question_10_answer,question_11_answer,question_12_answer,question_13_answer,question_14_answer,question_15_answer
2025-06-10 00:52:37,dog,25+,prefer_not_to_say,3m-5m,once_twice,low,21,15.0,1,c,c,b,b,b,a,a,a,a,a,a,a,a,a,a
2025-06-10 01:02:06,dog,23-25,prefer_not_to_say,3m-5m,occasionally,moderate,32,42.5,3,c,b,b,b,b,c,b,a,b,c,b,b,a,b,b
2025-06-10 01:03:39,dog,25+,female,5m-10m,once_twice,low,34,47.5,4,a,b,c,a,b,b,b,c,c,b,c,a,b,a,c
2025-06-10 01:11:02,cat,21-22,female,10m-20m,once_twice,low,33,45.0,4,c,c,b,b,b,c,b,b,b,b,b,b,c,a,b
2025-06-10 01:16:05,dog,21-22,female,>20m,occasionally,low,55,100.0,7,a,d,d,d,d,d,c,c,d,d,c,b,d,b,d
2025-06-10 01:57:22,dog,21-22,female,3m-5m,once_twice,low,32,42.5,3,b,a,c,c,c,c,b,b,c,b,a,a,b,a,b
2025-06-10 09:08:56,dog,18-20,female,<3m,none,very_low,33,45.0,4,a,c,a,a,d,c,b,b,c,a,c,a,a,b,a
2025-06-10 09:12:23,dog,18-20,prefer_not_to_say,5m-10m,none,low,25,25.0,2,d,a,c,b,c,c,a,a,a,b,b,a,b,a,a
2025-06-10 09:21:18,cat,18-20,female,3m-5m,once_twice,low,21,15.0,1,a,a,a,a,a,a,a,a,b,a,a,a,b,a,b
2025-06-10 09:30:41,cat,18-20,female,<3m,none,very_low,50,87.5,7,d,d,d,d,d,d,c,c,d,d,c,b,d,b,b
2025-06-10 09:40:16,dog,18-20,female,<3m,none,very_low,27,30.0,2,a,b,a,a,d,a,b,a,a,a,a,b,a,b,a
2025-06-10 10:03:27,cat,18-20,female,3m-5m,occasionally,low,29,35.0,3,b,b,c,c,c,a,a,b,b,a,c,a,a,a,b
